AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,SOILMAPUNI,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10,longitude,latitude
0.031289,0.996631,80,79,EE,EE0070,EE,70.0,EE70,EE,70.0,RGc3GLe3LPk4 [EE70],RGc,40.0,EE0102R1643,GLe,40.0,EE0073R1638,LPk,20.0,EE0070PRM01,,,,,,,,,,,,,,,,,,,,,,23.24929627585725,58.605806380495224
0.011869,0.663062,81,80,EE,EE0071,EE,71.0,EE71,EE,71.0,CMc3RGc5GLe5HSs5 [EE71],CMc,55.0,EE0071R1803,RGc,15.0,EE0009R2048,GLe,15.0,EE0039R2033,HSs,15.0,EE0071RR071,,,,,,,,,,,,,,,,,,,24.163793473913845,58.60751342522587
0.075493,1.846412,82,81,EE,EE0072,EE,72.0,EE72,EE,72.0,GLe1CMg5 [EE72],GLe,85.0,EE0072R0104,CMg,15.0,EE0078R1785,,,,,,,,,,,,,,,,,,,,,,,,,24.880881964816922,58.53230480335723
0.01595,0.64986,83,82,EE,EE0074,EE,74.0,EE74,EE,74.0,HSs1 [EE74],HSs,100.0,EE0074RR074,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.781086563622296,58.60643349243791
0.000393,0.079939,84,83,EE,EE0070,EE,70.0,EE70,EE,70.0,RGc3GLe3LPk4 [EE70],RGc,40.0,EE0102R1643,GLe,40.0,EE0073R1638,LPk,20.0,EE0070PRM01,,,,,,,,,,,,,,,,,,,,,,23.031151011871966,58.638050042360575
0.278192,5.843768,85,84,EE,EE0076,EE,76.0,EE76,EE,76.0,GLe3PZc5PZh5HSf5 [EE76],GLe,56.0,EE0076R1621,PZc,14.0,EE0076R1783,PZh,15.0,EE0052R1577,HSf,15.0,EE0076RR076,,,,,,,,,,,,,,,,,,,24.856916020433722,58.294184070869235
0.000268,0.071283,86,85,EE,EE0070,EE,70.0,EE70,EE,70.0,RGc3GLe3LPk4 [EE70],RGc,40.0,EE0102R1643,GLe,40.0,EE0073R1638,LPk,20.0,EE0070PRM01,,,,,,,,,,,,,,,,,,,,,,23.43434770443836,58.636778706368005
0.142976,4.547839,87,86,EE,EE0073,EE,73.0,EE73,EE,73.0,GLe3CMg5CMc5HSs5 [EE73],GLe,55.0,EE0073R1638,CMg,15.0,EE0078R1785,CMc,15.0,EE0087R1636,HSs,15.0,EE0073RR073,,,,,,,,,,,,,,,,,,,22.63254539549904,58.468607374570716
0.01656,0.613618,88,87,EE,EE0075,EE,75.0,EE75,EE,75.0,GLe2LVj4 [EE75],GLe,70.0,EE0052R1781,LVj,30.0,EE0052R1818,,,,,,,,,,,,,,,,,,,,,,,,,27.16620401770236,58.53966245704754
0.046235,1.914949,89,88,EE,EE0078,EE,78.0,EE78,EE,78.0,GLe2CMg5HSs5 [EE78],GLe,70.0,EE0072R0104,CMg,15.0,EE0078R1785,HSs,15.0,EE0078RR078,,,,,,,,,,,,,,,,,,,,,,24.137098889609817,58.522331264134195
0.018018,1.016271,90,89,EE,EE0077,EE,77.0,EE77,EE,77.0,RGc3GLe3LPk4 [EE77],RGc,40.0,EE0102R1643,GLe,40.0,EE0073R1638,LPk,20.0,EE0070PRM01,,,,,,,,,,,,,,,,,,,,,,22.84266966273049,58.57939050177183
0.098505,2.902518,91,90,EE,EE0079,EE,79.0,EE79,EE,79.0,HSf1 [EE79],HSf,100.0,EE0079RR079,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.153257153612344,58.47666226465232
0.022898,0.693785,92,91,EE,EE0080,EE,80.0,EE80,EE,80.0,LVj3PLe4GLe4HSs5 [EE80],LVj,45.0,EE0103R1692,PLe,20.0,EE0120R1477,GLe,20.0,EE0103R1791,HSs,15.0,EE0080RR080,,,,,,,,,,,,,,,,,,,25.46063433152515,58.53095961593087
